arr_port^pax^aeropuertos
LHR     ^88809^London Heathrow Airport
MRU     ^11820^Sir Seewoosagur Ramgoolam International Airport
DOH     ^11810^Doha International Airport
SCL     ^11760^Aeropuerto Arturo Merino Benítez
CAN     ^11730^Guangzhou
CMN     ^11720^Mohammed V International Airport
RDU     ^11530^Raleigh-Durham International Airport
AGP     ^11520^Málaga Airport
AUS     ^11480^Austin-Bergstrom International Airport
HYD     ^11410^Rajiv Gandhi International Airport
EZE     ^11360^Ministro Pistarini Airport
CMB     ^11230^Bandaranayake International Air Port
WAW     ^11200^Warsaw Chopin Airport
BEY     ^10950^Beirut International Airport
SAT     ^10780^San Antonio International Airport
CGK     ^10640^Soekarno–Hatta International Airport
ALG     ^10610^Algiers Houari Boumediene Airport
COK     ^10490^Cochin International Airport
PIT     ^10430^Pittsburgh International Airport
BUD     ^10420^Budapest / Ferihegy
MBJ     ^10390^Sangster International Airport
GIG     ^10380^Rio de Janeiro-Galeão International Airport
SNA     ^10360^John Wayne-Orange County Airport
MCI     ^9910^Kansas City International Airport
YYC     ^9810^Calgary International, Alta.
MRS     ^9650^Marseille Provence Airport
MAN     ^9540^Manchester Airport
OGG     ^9040^Kahului Airport
CCU     ^8990^Netaji Subhas Chandra Bose International Airport
BNA     ^8980^Nashville International Airport
PBI     ^8910^Palm Beach International
NBO     ^8740^Nairobi/Jomo Kenyatta Airport TWR/APP/NOF/Civil Airlines
LYS     ^8590^Lyon-Saint-Exupéry
AUH     ^8560^Abu Dhabi International Airport
UIO     ^8550^Mariscal Sucre International Airport
KBP     ^8490^Kiev Boryspil International Airport
LGW     ^8380^London / Gatwick Airport
SJC     ^8280^San Jose International Airport
IND     ^8240^Indianapolis International Airport
ISB     ^8160^Benazir Bhutto International Airport
TLS     ^8160^Toulouse-Blagnac Airport
GDL     ^8150^Don Miguel Hipalgo International
AEP     ^8010^Jorge Newbery Airport
PTY     ^7910^Tocumen International Airport
OTP     ^7900^Henri Coandă International Airport
CCS     ^7800^Maiquetia
SDQ     ^7770^Las Américas International Airport
JAX     ^7690^Jacksonville International Airport
USM     ^7670^Koh Samui Airport
SJO     ^7590^Juan Santamaría International Airport
ADL     ^7570^Adelaide Airport
CMH     ^7480^Port Columbus International Airport
CLE     ^7440^Cleveland-Hopkins International Airport
STR     ^7410^Stuttgart
KWI     ^7380^Kuwait Internationalairport
CTA     ^7300^Aeroporto di Catania-Fontanarossa
LCY     ^7300^London City Airport
MKE     ^7230^General Mitchell International Airport
LHE     ^7200^Allama Iqbal International Airport
MLA     ^7120^Luqa
DMM     ^7100^King Fahd International Airport
SJD     ^7080^San Jose Del Cabo
DUR     ^6950^King Shaka International Airport
HAV     ^6910^José Martí International Airport
GYE     ^6830^Guayaquil / Simon Bolivar
NAS     ^6680^Nassau International Airport
TRV     ^6640^Trivandrum International Airport
KOA     ^6620^Kona International Airport
MDE     ^6540^José María Córdova International Airport
KTM     ^6500^Tribhuwan Airport
CTG     ^6440^Aeropuerto Internacional de Crespo
MCT     ^6420^Maţār as Sīb ad Duwalī
CVG     ^6390^Cincinnati-Northern Kentucky International Airport
BLQ     ^6370^"Aeroporto di Bologna ""Guglielmo Marconi"" - Terminal B"
OPO     ^6350^Francisco de Sá Carneiro Airport
PVR     ^6280^Licenciado Gustaavo Diaz Ordaz International
MEM     ^6230^Memphis International Airport
BDL     ^6190^Bradley International Airport
BGO     ^6140^Bergen / Flesland
CCJ     ^6070^Calicut International Airport
SMF     ^6040^Sacramento International Airport
CLO     ^6010^Cali / Alfonso Bonillaaragon
AUA     ^5970^Koningin Beatrix Luchthaven
TFN     ^5900^Tenerife North Airport
ADD     ^5880^Addis Ababa Bole International Airport
KEF     ^5810^Keflavík International Airport
LPA     ^5780^Gran Canaria Airport
BAH     ^5740^Bahrain International Airport
FLR     ^5720^Florence Peretola Airport
BEG     ^5560^Belgrade Nikola Tesla Airport
CHC     ^5410^Christchurch International Airport
MLE     ^5400^Malé International Airport
SAL     ^5370^Aeropuerto Internacional El Salvador
CGN     ^5260^Cologne/Bonn
EDI     ^5240^Edinburgh Airport
AMD     ^5200^Ahmadabad
AYT     ^5170^Antalya
VLC     ^5110^Valencia Airport
SKG     ^5100^Thessaloniki Airport
GOT     ^5070^Gothenburg-Landvetter Airport
RAK     ^4970^Marrakesh Menara Airport
HAN     ^4970^Ha Noi
SVG     ^4960^Stavanger Airport, Sola
ANC     ^4940^Anchorage International Airport
SOF     ^4920^Sofia Airport
LIH     ^4900^Lihue Airport
KHI     ^4890^Karachi Airport
HAJ     ^4830^Hannover-Langenhagen Airport
BUF     ^4820^Greater Buffalo International Airport
YEG     ^4770^Edmonton International, Alta.
KIX     ^4720^Kansai International Airport
LCA     ^4700^Larnaca International Airport
OKC     ^4700^Will Rogers World Airport
LOS     ^4690^Murtala Mohammed International Airport
BIO     ^4650^Bilbao Airport
BOD     ^4630^Bordeaux–Mérignac Airport
MTY     ^4610^General Mariano Escobedo International Airport
ALA     ^4580^Almaty
DKR     ^4560^Léopold Sédar Senghor International Airport
PTP     ^4540^Pointe-à-Pitre - Le Raizet
CBR     ^4520^Canberra International Airport
CUR     ^4510^Hato International Airport
ORF     ^4480^Norfolk International Airport
SDF     ^4470^Standiford Field
GUA     ^4460^Guatemala Aeropuertola Aurora
NAP     ^4420^Naples International Airport
BHX     ^4420^Birmingham / Airport
CNX     ^4400^Chiang Mai
RIX     ^4400^Riga International Airport
VKO     ^4360^Vnukovo International Airport
RIC     ^4300^Richmond International Airport
ABQ     ^4290^Albuquerque International Airport
CHS     ^4160^Charleston International Airport
OMA     ^4120^Eppley Airfield
PSP     ^4100^Palm Springs International Airport
TUS     ^4090^Tucson International Airport
SAV     ^4080^Savannah International Airport
KRK     ^4030^John Paul II International Airport Kraków-Balice
WLG     ^3990^Wellington International Airport
RGN     ^3940^Yangon
CUZ     ^3910^Alejandro Velasco Astete International Airport
YOW     ^3860^Ottawa Int'L. Ont.
ACC     ^3810^Kotoka International Airport
PMO     ^3790^Palermo / Punta Raisi
AER     ^3790^Sochi International Airport
GEG     ^3770^Spokane International Airport
ABZ     ^3710^Aberdeen / Dyce
GOI     ^3680^Goa International Airport
HOU     ^3670^William P Hobby Airport
RNO     ^3640^Reno/Tahoe International Airport
FDF     ^3630^Martinique-Aimé-Césaire
NAN     ^3630^Nadi International Airport
STT     ^3620^Cyril E. King Airport
HER     ^3620^Heraklion Airport
ZAG     ^3610^Zagreb Airport
LAD     ^3610^Luanda
LKO     ^3600^Chaudhary Charan Singh Airport
MDW     ^3590^Chicago Midway Airport
GLA     ^3570^Glasgow Airport
DAR     ^3520^Julius Nyerere International Airport
PVD     ^3510^Theodore Francis Green State Airport
BAQ     ^3440^Ernesto Cortissoz
CNS     ^3420^Cairns International Airport
ESB     ^3420^Ankara / Esenboga
OAK     ^3390^Metropolitan Oakland International Airport
CGH     ^3390^Sao Paulo/Congonhas Aeroporto
POS     ^3360^Piarco International Airport
PLZ     ^3330^Port Elizabeth Airport
GSO     ^3330^Piedmont Triad International Airport
HND     ^3290^Tokyo International Airport
PNS     ^3290^Pensacola Regional Airport
DAY     ^3280^James M Cox Dayton International Airport
IBZ     ^3280^Ibiza Airport
MED     ^3280^Madinah
MGA     ^3260^Managua A. C. Sandino
FNC     ^3210^Aeroporto Da Madeira
BOI     ^3190^Boise Air Terminal
KRT     ^3190^Khartoum International Airport
TBS     ^3180^Tbilisi International Airport
LUX     ^3160^Luxembourg Findel Airport
RUN     ^3150^Roland Garros Airport
LIT     ^3140^Adams Field
ELP     ^3130^El Paso International Airport
TSE     ^3130^Astana International Airport
GRR     ^3110^Gerald R. Ford International Airport
IKA     ^3110^Tehran Imam Khomeini International Airport
DSM     ^3090^Des Moines International Airport
ADB     ^3060^Izmir / Adnan Menderes
ROC     ^3040^Greater Rochester International Airport
ADZ     ^3030^San Andres Isla / Sesquicentenario
ONT     ^3020^Ontario International Airport
MYR     ^3000^Myrtle Beach International Airport
TRD     ^3000^Trondheim Airport, Værnes
KRR     ^3000^Krasnodar
SYR     ^3000^Syracuse Hancock International Airport
CEB     ^2990^Mactan-Cebu International Airport
NUE     ^2980^Nuremberg Airport
HBE     ^2970^Alexandria Borg El Arab
BGI     ^2960^Grantley Adams International Airport
ROV     ^2950^Rostov-on-Don Airport
ORN     ^2950^Oran / Es Senia
BHM     ^2920^Birmingham-Shuttlesworth International Airport
TIP     ^2860^Tripoli Inter-National Airport
KIN     ^2840^Norman Manley International Airport
GYD     ^2810^Heydar Aliyev International Airport
TUL     ^2810^Tulsa International Airport
YHZ     ^2800^Halifax International Airport
MBA     ^2800^Mombasa
SUF     ^2760^Lamezia Terme International Airport
TRN     ^2760^Turin Caselle Airport
ALC     ^2760^Alicante Airport
BMA     ^2760^Stockholm-Bromma Airport
SVQ     ^2750^Sevilla / San Pablo
SXM     ^2740^Princess Juliana Airport
KBV     ^2740^Krabi Airport
SDU     ^2720^Santos Dumont Airport
PPT     ^2720^Tahiti-Faaa
FAO     ^2700^Faro / Aeroporto
COS     ^2690^Colorado Springs Airport
BRI     ^2680^"Bari ""Karol Wojtyła"" Airport"
YWG     ^2680^Winnipeg Int. Airportman.
SEZ     ^2670^Seychelles International Airport
ABJ     ^2600^Abidjan
GSP     ^2600^Greenville-Spartanburg Airport
EBB     ^2600^Entebbe Airport
CTS     ^2600^New Chitose Airport
MSQ     ^2600^Minsk National Airport
NTE     ^2570^Nantes Atlantique Airport
GUM     ^2560^Antonio B. Won Pat International Airport
TLL     ^2520^Tallinn Airport
PAP     ^2520^Toussaint Louverture International Airport
TIA     ^2520^Tirana International Airport Nënë Tereza
MSN     ^2490^Dane County Regional Airport
ATQ     ^2480^Amritsar
MDT     ^2470^Harrisburg International Airport
MVD     ^2430^Carrasco International Airport
SAW     ^2430^Sabiha Gökçen International Airport
CAE     ^2430^Columbia Metropolitan Airport
PNQ     ^2420^Pune Airport
XNA     ^2410^Northwest Arkansas Regional Airport
EVN     ^2410^Zvartnots International Airport
GDN     ^2400^GdańskZechowo
SVX     ^2400^Ekaterinburg
TFS     ^2360^Tenerife South Airport
ALB     ^2350^Albany County Airport
USH     ^2350^Ushuaia Aerodrome
OOL     ^2350^Gold Coast Airport
ANU     ^2340^V. C. Bird International Airport
IGR     ^2340^Cataratas del Iguazú International Airport
UVF     ^2340^Hewanorra International Airport
CNF     ^2330^Belo Horizonte
TAO     ^2320^Qingdao
SRQ     ^2320^Sarasota / Bradenton International Airport
SSH     ^2320^Sharm El Sheikh international airport
KIV     ^2310^Chişinău International Airport
BUR     ^2280^Bob Hope Airport
MFM     ^2280^Macau International Airport
HBA     ^2260^Hobart Airport
PWM     ^2240^Portland International Jetport
TYS     ^2240^McGhee Tyson Airport
PMV     ^2220^Margarita / Del Carib
SIP     ^2220^Simferopol
KTA     ^2210^Karratha Airport
NCL     ^2200^Newcastle International Airport
SXB     ^2200^Strasbourg International Airport
CAG     ^2200^Cagliari Elmas Airport
IGU     ^2190^Foz Do Iguacu Aeroporto
JAI     ^2190^Jaipur Airport
SMR     ^2180^Simón Bolívar International Airport
PLS     ^2160^Providenciales
POA     ^2160^Aeroporto Internacional Salgado Filho
ICT     ^2160^Wichita Mid-Continent Airport
PNH     ^2150^Phnom Penh International Airport
SJJ     ^2140^Sarajevo
BSB     ^2130^Brasilia International Airport
LGB     ^2130^Long Beach Airport (Daugherty Field)
GCM     ^2110^Owen Roberts International Airport
BJX     ^2110^Del Bajío International Airport
BGA     ^2100^Palonegro International Airport
SSA     ^2100^Salvador Aeroporto
LIR     ^2070^Liberia
GEO     ^2070^Georgetown/Cheddi Jagan International Airport
BLL     ^2050^Billund Lufthavn
RHO     ^2030^Rhodes International Airport
BSL     ^2030^Bâle-Mulhouse
VVI     ^2020^Viru Viru International Airport
ODS     ^2020^Odessa International Airport
PUS     ^2020^Pusan / Kimhae International Airport
IXE     ^2010^Mangalore Airport
NGO     ^2000^Chūbu Centrair International Airport
HRE     ^2000^Harare International Airport
COR     ^1980^Pajas Blancas Airport
VRN     ^1970^Verona Villafranca Airport
CCP     ^1950^Carriel Sur International Airport
BRE     ^1950^Bremen Airport
ABV     ^1950^Nnamdi Azikiwe International Airport
HSV     ^1950^Huntsville International Airport-Carl T Jones Field
JTR     ^1880^Santorini Airport
XMN     ^1880^Xiamen
FAI     ^1870^Fairbanks International Airport
MDZ     ^1870^Mendoza Aerodrome
EYW     ^1870^Key West International Airport
VNO     ^1870^Vilnius Airport
AHB     ^1850^Abha
MHT     ^1840^Manchester Airport
PEI     ^1830^Pereira / Matecana
MRV     ^1820^Mineral'Nye Vody
GOA     ^1810^Aeroporto Cristoforo Colombo
FUE     ^1810^Fuerteventura Airport
PDL     ^1800^Ponta Delgada / Nordela Acores
DJE     ^1790^Djerba–Zarzis International Airport
KUF     ^1790^Samara
CZL     ^1790^Mohamed Boudiaf International Airport
DBV     ^1760^Dubrovnik Airport
TOS     ^1750^Tromsø Airport
ZQN     ^1720^Queenstown Airport
PEW     ^1720^Bacha Khan International Airport
PEN     ^1720^Penang International Airport
HGH     ^1720^Hangzhou Xiaoshan International Airport
CTU     ^1710^Chengdu
AQP     ^1710^Arequipa
CZM     ^1700^Cozumel International Airport
ACE     ^1700^Lanzarote Airport
MPM     ^1690^Aeroporto Internacional de Mavalane
OVB     ^1680^Tolmachevo Airport
SHA     ^1670^Shanghai / Hongqiao
ANF     ^1660^Aeropuerto Cerro Moreno
ASU     ^1650^Asuncion / Aeropuerto
AAQ     ^1650^Anapa Airport
XPG     ^1630^Paris FR Gare Du Nord Rail Stn
BRC     ^1620^Bariloche Aerodrome
GMP     ^1610^Seoul / Kimp'O International Airport
CAK     ^1610^Akron-Canton Regional Airport
HPN     ^1610^Westchester County Airport
MMX     ^1610^Malmö Airport
LUN     ^1610^Lusaka Internationalairport
DRW     ^1600^Darwin International Airport
BTR     ^1600^Baton Rouge Metropolitan Airport
SPU     ^1600^Split Airport
TAS     ^1600^Tashkent
CJC     ^1600^Aeródromo El Loa
KBL     ^1580^Kabul International Airport
KHH     ^1580^Kaohsiung International Airport
YQB     ^1580^Jean Lesage International Airport
VPS     ^1580^Valparaiso / Eglin Air Force Base
BZN     ^1560^Gallatin Field Airport
VVO     ^1550^Vladivostok International Airport
TGU     ^1540^Tegucigalpa
DAB     ^1540^Daytona Beach International Airport
BDA     ^1540^Kindley Field
JAN     ^1530^Jackson-Evers International Airport
BZE     ^1520^Belize International Airport
GPT     ^1520^Gulfport-Biloxi Regional Airport
FAT     ^1510^Fresno Air Terminal Airport
SZX     ^1510^Shenzhen Bao'an International Airport
AGA     ^1510^Agadir Al Massira
AJA     ^1510^Ajaccio Napoleon Bonaparte Airport
ZNE     ^1510^Newman Airport
PBM     ^1500^Johan A. Pengel
BOO     ^1500^Bodø Airport
LJU     ^1490^Ljubljana Jože Pučnik Airport
BTV     ^1490^Burlington International Airport
TNR     ^1480^Ivato International Airport
IDR     ^1480^Devi Ahilyabai Holkar International Airport
STI     ^1470^Cibao International
PAT     ^1470^Patna
WDH     ^1470^Windhoek Hosea Kutako International Airport
IXC     ^1470^Chandigarh Airport
FOC     ^1460^Fuzhou
WRO     ^1450^Wrocław – Copernicus Airport
SAP     ^1450^La Mesa San Pedro Sula
PRN     ^1440^Pristina International Airport (PIA)
TGD     ^1440^Podgorica Airport
VNS     ^1440^Lal Bahadur Shastri Airport
POM     ^1430^Moresby
DRS     ^1430^Dresden Airport
FAY     ^1430^Fayetteville Municipal Airport
TLH     ^1430^Tallahassee Regional Airport
GAU     ^1430^Guwāhāti
BHD     ^1420^Belfast / Harbour
BLA     ^1420^Campo Nuevo
SZG     ^1410^Salzburg Airport
YQR     ^1400^Regina
OUD     ^1400^Angads Airport
SKP     ^1400^Skopje-Petrovec
BEN     ^1400^Benina
TSV     ^1390^Townsville Airport
DAL     ^1390^Dallas Love Field
TUU     ^1380^Tabuk
LPB     ^1380^J F Kennedy
RPR     ^1380^Swami Vivekananda Airport
BDS     ^1380^Brindisi – Salento Airport
SLA     ^1380^Martín Miguel de Güemes International Airport
YLW     ^1380^Kelowna International Airport
PZO     ^1370^Guayana / Manuel Car
NOU     ^1370^La Tontouta International Airport
ELS     ^1370^East London Airport
FSD     ^1360^Joe Foss Field
JAC     ^1360^Jackson Hole Airport
VGO     ^1360^Vigo-Peinador Airport
IEV     ^1350^Kyiv Zhuliany International Airport
PMC     ^1340^Puerto Montt
BUQ     ^1340^Bulawayo Airport
REP     ^1330^Siemreap
JRO     ^1320^Kilimanjaro International Airport
YTZ     ^1310^Toronto Island Airport Automated Reporting Station
OLB     ^1310^Olbia - Costa Smeralda Airport
VAR     ^1290^Varna Airport
ZYL     ^1290^Sylhet
YYJ     ^1290^Victoria International Airport
CGP     ^1290^Shah Amanat International Airport
BKI     ^1280^Jesselton
SNN     ^1280^Shannon Airport
TAB     ^1270^Crown Point Airport
SBA     ^1270^Santa Barbara Municipal Airport
ILM     ^1260^Wilmington International Airport
YYT     ^1260^St. John's, Nfld
DLC     ^1230^Dalian Zhoushuizi International Airport
SGF     ^1220^Springfield-Branson National Airport
NKG     ^1220^Nanjing
BES     ^1220^Brest-Bretagne
KHV     ^1220^Habarovsk
VTZ     ^1210^Vishakhapatnam Airport
HRG     ^1210^Hurguada
BGW     ^1210^Baghdad International Airport
SHE     ^1200^Shenyang / Taokian
PSC     ^1200^Tri-Cities Airport
FPO     ^1200^Freeport International Airport
PIU     ^1190^Capitán FAP Guillermo Concha Iberico International Airport
MAR     ^1190^La Chinita Internacional
MPL     ^1190^Montpellier-Méditerranée
DUD     ^1180^Dunedin Airport
CKY     ^1180^Conakry International Airport
LCG     ^1170^A Coruña Airport
BIQ     ^1170^Biarritz-Bayonne-Anglet
TRU     ^1160^Trujillo
FTE     ^1160^El Calafate Airport
FRU     ^1160^Bishkek/Manas Airport
LIL     ^1150^Lille-Lesquin
CUC     ^1150^Cucuta / Camilo Daza
BIL     ^1150^Logan International Airport
DLA     ^1140^Douala Obs.
AMA     ^1140^Rick Husband Amarillo International Airport
TIJ     ^1130^Tijuana International Airport
PHE     ^1130^Port Hedland Pardoo
KJA     ^1130^Yemelyanovo Krasnoyarsk International Airport
BKO     ^1120^Bamako / Senou
UDR     ^1120^Udaipur Dabok
MTR     ^1080^Los Garzones Airport
VER     ^1080^Veracruz / Las Bajadas / General Heriberto Jara
SAH     ^1080^Sana'A
BJV     ^1080^Bodrum Milas Airport
CUU     ^1080^Chihuahua International
LEJ     ^1070^Leipzig-Halle Airport
KGL     ^1070^Kigali International Airport
CHQ     ^1060^Chania International Airport
LEX     ^1060^Blue Grass Airport
DOK     ^1060^Donetsk
IXB     ^1050^Siliguri
CPO     ^1050^Desierto de Atacama Airport
BZV     ^1040^Maya-Maya Airport
KMG     ^1040^Kunming
GIZ     ^1040^Gizan
VSA     ^1040^Villahermosa
HMO     ^1040^Hermosillo, Son.
CWB     ^1040^Curitiba Aeroporto
CJB     ^1030^Coimbatore / Peelamedu
ROA     ^1030^Roanoke Regional Airport-Woodrum Field
RAP     ^1020^Rapid City Regional Airport
KGD     ^1020^Khrabrovo Airport
JER     ^1020^Jersey Airport
PHF     ^1020^Newport News-Williamsburg International Airport
ZYR     ^1020^Brussels BE Brussels Midi Stn
IQT     ^1010^Iquitos
ASE     ^1010^Aspen-Pitkin County Airport-Sardy Field
RAJ     ^1010^Rajkot Airport
MOB     ^1010^Mobile Regional Airport
COO     ^1010^Cotonou
REC     ^1010^Recife Aeroporto
OVD     ^1010^Asturias / Aviles
MAH     ^1000^Menorca Airport
VTE     ^1000^Wattay International Airport
FLN     ^1000^Florianopolis Aeroporto
CUE     ^990^Cuenca / Mariscal Lamar
ULN     ^990^Ulan-Bator Chinggis Khan International Airport
MYY     ^990^Miri Airport
CHA     ^990^Lovell Field
FIH     ^990^N'djili Airport
GRX     ^990^Federico García Lorca Airport
IQQ     ^980^Iquique / Diego Arac
MFE     ^980^McAllen Miller International Airport
ITO     ^980^Hilo International Airport
ECP     ^980^Northwest Florida Beaches International Airport
EAM     ^980^Najran
ADA     ^980^Adana / Sakirpasa
YMM     ^970^Fort McMurray Airport
RBA     ^970^Rabat-Salé Airport
ZNZ     ^970^Zanzibar / Kisauni
GLT     ^960^Gladstone Airport
PUF     ^960^Pau Pyrénées Airport
EBL     ^960^Erbil International Airport
LBV     ^960^Libreville
MJT     ^950^Mytilini Airport
TIV     ^950^Tivat Airport
LWO     ^950^Lviv International Airport
BRS     ^950^Bristol / Lulsgate
POZ     ^950^Posnan/Lawica
MID     ^940^Merida / lic Manuel Crecencio
NAG     ^940^Nagpur Sonegaon
CEK     ^940^Chelyabinsk-Balandino
KRS     ^940^Kristiansand Airport, Kjevik
JMK     ^920^Mikonos Island, Mikonos Airport
BIA     ^920^Bastia-Poretta
MIR     ^920^Monastir Habib Bourguiba International Airport
NAT     ^920^Augusto Severo International Airport
HLA     ^920^Lanseria
BJM     ^920^Aéroport de Bujumbura Gakumbu
UFA     ^910^Ufa International Airport
PSA     ^910^Pisa / S. Giusto
EUG     ^910^Mahlon Sweet Field Airport
OUA     ^910^Ouagadougou Airport
LLW     ^910^Lilongwe International Airport
FSC     ^910^Figari - Sud-Corse
PUQ     ^900^Punta Arenas
NSI     ^900^Yaounde
TRZ     ^900^Tiruchirappalli International Airport
MAO     ^900^Eduardo Gomes International Airport
MZT     ^890^Mazatlan / G. Buelna
YXE     ^890^Saskatoon, Sask.
TSR     ^890^Timisoara
REG     ^890^Reggio Calabria Airport
FUK     ^890^Fukuoka Airport
CKG     ^890^Chongqing
AVL     ^890^Asheville Regional Airport
LFT     ^890^Lafayette Regional Airport
ITM     ^880^Osaka International Airport
SUB     ^880^Juanda International Airport
CRW     ^880^Yeager Airport
CGO     ^880^Zhengzhou
ABE     ^880^Lehigh Valley International Airport
MLI     ^880^Quad City International Airport
SFA     ^870^Sfax–Thyna International Airport
IXM     ^870^Madurai Airport
FOR     ^870^Pinto Martins
MLB     ^870^Melbourne International Airport
ZIH     ^870^Ixtapa-Zihuatanejo
CRP     ^860^Corpus Christi International Airport
CHO     ^860^Charlottesville-Albemarle Airport
SHV     ^860^Shreveport Regional Airport
VAA     ^860^Vaasa
SID     ^850^Amílcar Cabral International Airport
DED     ^850^Dehradun Airport
KRN     ^850^Kiruna
MMK     ^850^Murmansk Airport
KKC     ^850^Khon Kaen
CID     ^850^The Eastern Iowa Airport
SDK     ^850^Sandakan Airport
BBI     ^850^Bhubaneswar
VIX     ^850^Eurico de Aguiar Salles Airport
HAU     ^840^Haugesund / Karmoy
GRB     ^840^Austin Straubel International Airport
PBO     ^840^Paraburdoo Airport
SLL     ^840^Salalah Airport
IXU     ^840^Aurangabad Airport
LBB     ^840^Lubbock International Airport
RAI     ^840^Praia International Airport
GRK     ^830^Fort Hood, Robert Gray AAF Ft Hood
SLP     ^830^San Luis Potosi, S. L. P.
KZN     ^820^Kazan International Airport
FWA     ^820^Fort Wayne International Airport
SHJ     ^820^Sharjah International Airport
JUB     ^820^Juba Airport
GPS     ^820^Seymour Airport
PSO     ^810^Pasto / Antonio Narin
AAL     ^810^Aalborg Airport
PHC     ^810^Port Harcourt International Airport
AAE     ^810^Rabah Bitat Annaba Airport
